Tipo_Antecessor,Qtd Chaves,Altura,Altura Esperada
AVL,391,9,12
AVL,391,9,12
AVL,391,9,12
AVL,391,9,12
AVL,391,9,12
AVL,391,9,12
AVL,391,9,12
AVL,391,9,12
AVL,391,9,12
AVL,391,9,12
AVL,391,9,12
AVL,391,9,12
AVL,391,9,12
AVL,391,9,12
AVL,391,9,12
AVL,391,10,12
AVL,391,9,12
AVL,391,9,12
AVL,391,9,12
AVL,391,9,12
AVL,391,9,12
AVL,391,9,12
AVL,391,9,12
AVL,391,10,12
AVL,391,9,12
AVL,391,9,12
AVL,391,9,12
AVL,391,9,12
AVL,391,9,12
AVL,391,9,12
AVL,391,9,12
AVL,391,9,12
AVL,391,9,12
AVL,391,9,12
AVL,391,9,12
AVL,391,9,12
AVL,391,9,12
AVL,391,9,12
AVL,391,9,12
AVL,391,9,12
AVL,391,9,12
AVL,391,10,12
AVL,391,9,12
AVL,391,9,12
AVL,391,9,12
AVL,391,9,12
AVL,391,9,12
AVL,391,9,12
AVL,391,9,12
AVL,391,9,12
AVL,391,9,12
AVL,391,9,12
AVL,391,10,12
AVL,391,9,12
AVL,391,9,12
AVL,391,9,12
AVL,391,9,12
AVL,391,9,12
AVL,391,9,12
AVL,391,9,12
AVL,391,9,12
AVL,391,9,12
AVL,391,9,12
AVL,391,9,12
AVL,391,9,12
AVL,391,9,12
AVL,391,9,12
AVL,391,9,12
AVL,391,9,12
AVL,391,9,12
AVL,391,9,12
AVL,391,9,12
AVL,391,10,12
AVL,391,9,12
AVL,391,9,12
AVL,391,9,12
AVL,391,9,12
AVL,391,9,12
AVL,391,9,12
AVL,391,9,12
AVL,391,9,12
AVL,391,10,12
AVL,391,9,12
AVL,391,9,12
AVL,391,9,12
AVL,391,9,12
AVL,391,9,12
AVL,391,9,12
AVL,391,9,12
AVL,391,9,12
AVL,391,9,12
AVL,391,10,12
AVL,391,10,12
AVL,391,9,12
AVL,391,9,12
AVL,391,9,12
AVL,391,9,12
AVL,391,9,12
AVL,391,9,12
AVL,391,9,12
AVL,594,10,12
AVL,594,10,12
AVL,594,10,12
AVL,594,10,12
AVL,594,10,12
AVL,594,10,12
AVL,594,10,12
AVL,594,10,12
AVL,594,10,12
AVL,594,10,12
AVL,594,10,12
AVL,594,10,12
AVL,594,10,12
AVL,594,10,12
AVL,594,10,12
AVL,594,10,12
AVL,594,10,12
AVL,594,10,12
AVL,594,10,12
AVL,594,10,12
AVL,594,10,12
AVL,594,10,12
AVL,594,10,12
AVL,594,10,12
AVL,594,10,12
AVL,594,10,12
AVL,594,10,12
AVL,594,10,12
AVL,594,10,12
AVL,594,10,12
AVL,594,10,12
AVL,594,10,12
AVL,594,10,12
AVL,594,10,12
AVL,594,10,12
AVL,594,10,12
AVL,594,10,12
AVL,594,10,12
AVL,594,10,12
AVL,594,10,12
AVL,594,10,12
AVL,594,10,12
AVL,594,10,12
AVL,594,10,12
AVL,594,11,12
AVL,594,10,12
AVL,594,10,12
AVL,594,10,12
AVL,594,10,12
AVL,594,10,12
AVL,594,10,12
AVL,594,10,12
AVL,594,10,12
AVL,594,10,12
AVL,594,10,12
AVL,594,10,12
AVL,594,10,12
AVL,594,10,12
AVL,594,10,12
AVL,594,10,12
AVL,594,10,12
AVL,594,10,12
AVL,594,10,12
AVL,594,10,12
AVL,594,10,12
AVL,594,10,12
AVL,594,10,12
AVL,594,10,12
AVL,594,10,12
AVL,594,10,12
AVL,594,10,12
AVL,594,10,12
AVL,594,10,12
AVL,594,10,12
AVL,594,10,12
AVL,594,10,12
AVL,594,10,12
AVL,594,10,12
AVL,594,10,12
AVL,594,10,12
AVL,594,10,12
AVL,594,10,12
AVL,594,10,12
AVL,594,10,12
AVL,594,10,12
AVL,594,10,12
AVL,594,10,12
AVL,594,10,12
AVL,594,10,12
AVL,594,10,12
AVL,594,10,12
AVL,594,10,12
AVL,594,10,12
AVL,594,10,12
AVL,594,10,12
AVL,594,10,12
AVL,594,10,12
AVL,594,10,12
AVL,594,10,12
AVL,594,10,12
AVL,897,11,13
AVL,897,11,13
AVL,897,11,13
AVL,897,11,13
AVL,897,11,13
AVL,897,11,13
AVL,897,11,13
AVL,897,11,13
AVL,897,11,13
AVL,897,11,13
AVL,897,11,13
AVL,897,11,13
AVL,897,11,13
AVL,897,11,13
AVL,897,11,13
AVL,897,10,13
AVL,897,10,13
AVL,897,11,13
AVL,897,11,13
AVL,897,11,13
AVL,897,11,13
AVL,897,11,13
AVL,897,11,13
AVL,897,11,13
AVL,897,11,13
AVL,897,11,13
AVL,897,10,13
AVL,897,11,13
AVL,897,11,13
AVL,897,11,13
AVL,897,11,13
AVL,897,11,13
AVL,897,11,13
AVL,897,11,13
AVL,897,11,13
AVL,897,10,13
AVL,897,11,13
AVL,897,11,13
AVL,897,11,13
AVL,897,11,13
AVL,897,11,13
AVL,897,11,13
AVL,897,11,13
AVL,897,11,13
AVL,897,11,13
AVL,897,11,13
AVL,897,11,13
AVL,897,11,13
AVL,897,11,13
AVL,897,11,13
AVL,897,11,13
AVL,897,11,13
AVL,897,11,13
AVL,897,11,13
AVL,897,11,13
AVL,897,11,13
AVL,897,11,13
AVL,897,11,13
AVL,897,11,13
AVL,897,11,13
AVL,897,11,13
AVL,897,11,13
AVL,897,11,13
AVL,897,11,13
AVL,897,11,13
AVL,897,10,13
AVL,897,11,13
AVL,897,11,13
AVL,897,11,13
AVL,897,11,13
AVL,897,11,13
AVL,897,11,13
AVL,897,11,13
AVL,897,11,13
AVL,897,11,13
AVL,897,11,13
AVL,897,11,13
AVL,897,11,13
AVL,897,10,13
AVL,897,11,13
AVL,897,10,13
AVL,897,11,13
AVL,897,11,13
AVL,897,11,13
AVL,897,11,13
AVL,897,11,13
AVL,897,11,13
AVL,897,10,13
AVL,897,10,13
AVL,897,10,13
AVL,897,11,13
AVL,897,11,13
AVL,897,11,13
AVL,897,11,13
AVL,897,11,13
AVL,897,11,13
AVL,897,11,13
AVL,897,11,13
AVL,897,11,13
AVL,897,11,13
AVL,426,10,12
AVL,426,10,12
AVL,426,10,12
AVL,426,9,12
AVL,426,9,12
AVL,426,9,12
AVL,426,10,12
AVL,426,9,12
AVL,426,9,12
AVL,426,9,12
AVL,426,9,12
AVL,426,9,12
AVL,426,10,12
AVL,426,9,12
AVL,426,9,12
AVL,426,9,12
AVL,426,9,12
AVL,426,9,12
AVL,426,10,12
AVL,426,9,12
AVL,426,10,12
AVL,426,9,12
AVL,426,10,12
AVL,426,9,12
AVL,426,9,12
AVL,426,9,12
AVL,426,9,12
AVL,426,10,12
AVL,426,10,12
AVL,426,9,12
AVL,426,10,12
AVL,426,9,12
AVL,426,10,12
AVL,426,9,12
AVL,426,9,12
AVL,426,10,12
AVL,426,9,12
AVL,426,9,12
AVL,426,9,12
AVL,426,9,12
AVL,426,9,12
AVL,426,9,12
AVL,426,9,12
AVL,426,9,12
AVL,426,9,12
AVL,426,10,12
AVL,426,10,12
AVL,426,9,12
AVL,426,9,12
AVL,426,9,12
AVL,426,9,12
AVL,426,10,12
AVL,426,10,12
AVL,426,10,12
AVL,426,10,12
AVL,426,10,12
AVL,426,10,12
AVL,426,10,12
AVL,426,9,12
AVL,426,9,12
AVL,426,9,12
AVL,426,9,12
AVL,426,9,12
AVL,426,10,12
AVL,426,9,12
AVL,426,9,12
AVL,426,9,12
AVL,426,9,12
AVL,426,9,12
AVL,426,9,12
AVL,426,9,12
AVL,426,10,12
AVL,426,10,12
AVL,426,9,12
AVL,426,9,12
AVL,426,9,12
AVL,426,9,12
AVL,426,9,12
AVL,426,10,12
AVL,426,9,12
AVL,426,9,12
AVL,426,9,12
AVL,426,10,12
AVL,426,9,12
AVL,426,10,12
AVL,426,9,12
AVL,426,10,12
AVL,426,10,12
AVL,426,9,12
AVL,426,10,12
AVL,426,9,12
AVL,426,9,12
AVL,426,9,12
AVL,426,10,12
AVL,426,9,12
AVL,426,10,12
AVL,426,9,12
AVL,426,10,12
AVL,426,9,12
AVL,426,10,12
AVL,723,10,13
AVL,723,10,13
AVL,723,10,13
AVL,723,10,13
AVL,723,11,13
AVL,723,11,13
AVL,723,10,13
AVL,723,11,13
AVL,723,10,13
AVL,723,11,13
AVL,723,10,13
AVL,723,11,13
AVL,723,10,13
AVL,723,10,13
AVL,723,10,13
AVL,723,10,13
AVL,723,10,13
AVL,723,10,13
AVL,723,10,13
AVL,723,11,13
AVL,723,10,13
AVL,723,11,13
AVL,723,11,13
AVL,723,10,13
AVL,723,10,13
AVL,723,10,13
AVL,723,10,13
AVL,723,10,13
AVL,723,10,13
AVL,723,10,13
AVL,723,10,13
AVL,723,11,13
AVL,723,10,13
AVL,723,10,13
AVL,723,10,13
AVL,723,10,13
AVL,723,10,13
AVL,723,10,13
AVL,723,10,13
AVL,723,10,13
AVL,723,11,13
AVL,723,10,13
AVL,723,10,13
AVL,723,10,13
AVL,723,10,13
AVL,723,11,13
AVL,723,10,13
AVL,723,10,13
AVL,723,10,13
AVL,723,11,13
AVL,723,10,13
AVL,723,10,13
AVL,723,10,13
AVL,723,10,13
AVL,723,10,13
AVL,723,11,13
AVL,723,10,13
AVL,723,11,13
AVL,723,10,13
AVL,723,10,13
AVL,723,11,13
AVL,723,10,13
AVL,723,10,13
AVL,723,10,13
AVL,723,10,13
AVL,723,10,13
AVL,723,11,13
AVL,723,10,13
AVL,723,10,13
AVL,723,10,13
AVL,723,10,13
AVL,723,10,13
AVL,723,10,13
AVL,723,10,13
AVL,723,11,13
AVL,723,10,13
AVL,723,11,13
AVL,723,11,13
AVL,723,11,13
AVL,723,10,13
AVL,723,11,13
AVL,723,11,13
AVL,723,10,13
AVL,723,10,13
AVL,723,10,13
AVL,723,10,13
AVL,723,11,13
AVL,723,10,13
AVL,723,10,13
AVL,723,10,13
AVL,723,10,13
AVL,723,10,13
AVL,723,10,13
AVL,723,10,13
AVL,723,11,13
AVL,723,10,13
AVL,723,10,13
AVL,723,10,13
AVL,723,10,13
AVL,723,10,13
AVL,991,11,14
AVL,991,11,14
AVL,991,11,14
AVL,991,11,14
AVL,991,11,14
AVL,991,11,14
AVL,991,11,14
AVL,991,11,14
AVL,991,11,14
AVL,991,11,14
AVL,991,11,14
AVL,991,11,14
AVL,991,11,14
AVL,991,11,14
AVL,991,11,14
AVL,991,11,14
AVL,991,11,14
AVL,991,11,14
AVL,991,11,14
AVL,991,11,14
AVL,991,11,14
AVL,991,11,14
AVL,991,11,14
AVL,991,11,14
AVL,991,11,14
AVL,991,11,14
AVL,991,11,14
AVL,991,11,14
AVL,991,11,14
AVL,991,11,14
AVL,991,11,14
AVL,991,11,14
AVL,991,11,14
AVL,991,11,14
AVL,991,11,14
AVL,991,11,14
AVL,991,11,14
AVL,991,11,14
AVL,991,11,14
AVL,991,11,14
AVL,991,11,14
AVL,991,11,14
AVL,991,11,14
AVL,991,11,14
AVL,991,11,14
AVL,991,11,14
AVL,991,11,14
AVL,991,11,14
AVL,991,11,14
AVL,991,11,14
AVL,991,11,14
AVL,991,11,14
AVL,991,11,14
AVL,991,11,14
AVL,991,11,14
AVL,991,11,14
AVL,991,11,14
AVL,991,11,14
AVL,991,11,14
AVL,991,11,14
AVL,991,11,14
AVL,991,11,14
AVL,991,11,14
AVL,991,11,14
AVL,991,11,14
AVL,991,11,14
AVL,991,11,14
AVL,991,11,14
AVL,991,11,14
AVL,991,11,14
AVL,991,11,14
AVL,991,11,14
AVL,991,11,14
AVL,991,11,14
AVL,991,11,14
AVL,991,11,14
AVL,991,11,14
AVL,991,11,14
AVL,991,11,14
AVL,991,11,14
AVL,991,11,14
AVL,991,10,14
AVL,991,11,14
AVL,991,11,14
AVL,991,11,14
AVL,991,11,14
AVL,991,11,14
AVL,991,11,14
AVL,991,11,14
AVL,991,11,14
AVL,991,11,14
AVL,991,11,14
AVL,991,11,14
AVL,991,11,14
AVL,991,11,14
AVL,991,11,14
AVL,991,11,14
AVL,991,10,14
AVL,991,11,14
AVL,991,11,14
AVL,275,9,11
AVL,275,9,11
AVL,275,9,11
AVL,275,8,11
AVL,275,8,11
AVL,275,8,11
AVL,275,9,11
AVL,275,9,11
AVL,275,9,11
AVL,275,8,11
AVL,275,9,11
AVL,275,9,11
AVL,275,9,11
AVL,275,9,11
AVL,275,9,11
AVL,275,9,11
AVL,275,9,11
AVL,275,8,11
AVL,275,9,11
AVL,275,9,11
AVL,275,9,11
AVL,275,9,11
AVL,275,9,11
AVL,275,9,11
AVL,275,9,11
AVL,275,9,11
AVL,275,9,11
AVL,275,9,11
AVL,275,8,11
AVL,275,9,11
AVL,275,9,11
AVL,275,9,11
AVL,275,9,11
AVL,275,9,11
AVL,275,9,11
AVL,275,9,11
AVL,275,9,11
AVL,275,9,11
AVL,275,9,11
AVL,275,9,11
AVL,275,9,11
AVL,275,8,11
AVL,275,9,11
AVL,275,9,11
AVL,275,9,11
AVL,275,9,11
AVL,275,9,11
AVL,275,9,11
AVL,275,9,11
AVL,275,8,11
AVL,275,9,11
AVL,275,9,11
AVL,275,9,11
AVL,275,9,11
AVL,275,9,11
AVL,275,9,11
AVL,275,9,11
AVL,275,9,11
AVL,275,9,11
AVL,275,9,11
AVL,275,9,11
AVL,275,8,11
AVL,275,9,11
AVL,275,9,11
AVL,275,9,11
AVL,275,9,11
AVL,275,9,11
AVL,275,9,11
AVL,275,9,11
AVL,275,9,11
AVL,275,9,11
AVL,275,9,11
AVL,275,9,11
AVL,275,8,11
AVL,275,9,11
AVL,275,8,11
AVL,275,9,11
AVL,275,9,11
AVL,275,9,11
AVL,275,9,11
AVL,275,9,11
AVL,275,9,11
AVL,275,9,11
