Tipo,Qtd Chaves,Altura,Altura Esperada
AVL,8533,15,18
AVL,8533,15,18
AVL,8533,15,18
AVL,8533,15,18
AVL,8533,14,18
AVL,8533,15,18
AVL,8533,14,18
AVL,8533,15,18
AVL,8533,15,18
AVL,8533,14,18
AVL,8533,15,18
AVL,8533,15,18
AVL,8533,15,18
AVL,8533,15,18
AVL,8533,15,18
AVL,8533,15,18
AVL,8533,15,18
AVL,8533,15,18
AVL,8533,15,18
AVL,8533,15,18
AVL,8533,15,18
AVL,8533,15,18
AVL,8533,15,18
AVL,8533,15,18
AVL,8533,15,18
AVL,8533,14,18
AVL,8533,15,18
AVL,8533,15,18
AVL,8533,14,18
AVL,8533,14,18
AVL,8533,15,18
AVL,8533,15,18
AVL,8533,15,18
AVL,8533,15,18
AVL,8533,14,18
AVL,8533,15,18
AVL,8533,14,18
AVL,8533,15,18
AVL,8533,15,18
AVL,8533,15,18
AVL,8533,15,18
AVL,8533,14,18
AVL,8533,15,18
AVL,8533,15,18
AVL,8533,15,18
AVL,8533,15,18
AVL,8533,15,18
AVL,8533,15,18
AVL,8533,15,18
AVL,8533,15,18
AVL,8533,15,18
AVL,8533,15,18
AVL,8533,15,18
AVL,8533,15,18
AVL,8533,14,18
AVL,8533,15,18
AVL,8533,15,18
AVL,8533,15,18
AVL,8533,15,18
AVL,8533,14,18
AVL,8533,15,18
AVL,8533,14,18
AVL,8533,15,18
AVL,8533,14,18
AVL,8533,15,18
AVL,8533,15,18
AVL,8533,14,18
AVL,8533,15,18
AVL,8533,14,18
AVL,8533,15,18
AVL,8533,15,18
AVL,8533,14,18
AVL,8533,15,18
AVL,8533,15,18
AVL,8533,15,18
AVL,8533,15,18
AVL,8533,15,18
AVL,8533,15,18
AVL,8533,15,18
AVL,8533,15,18
AVL,8533,14,18
AVL,8533,14,18
AVL,8533,14,18
AVL,8533,15,18
AVL,8533,14,18
AVL,8533,15,18
AVL,8533,15,18
AVL,8533,15,18
AVL,8533,15,18
AVL,8533,14,18
AVL,8533,15,18
AVL,8533,15,18
AVL,8533,15,18
AVL,8533,15,18
AVL,8533,15,18
AVL,8533,14,18
AVL,8533,15,18
AVL,8533,15,18
AVL,8533,15,18
AVL,8533,15,18
AVL,7820,15,18
AVL,7820,15,18
AVL,7820,14,18
AVL,7820,15,18
AVL,7820,15,18
AVL,7820,15,18
AVL,7820,15,18
AVL,7820,14,18
AVL,7820,15,18
AVL,7820,15,18
AVL,7820,15,18
AVL,7820,14,18
AVL,7820,14,18
AVL,7820,14,18
AVL,7820,14,18
AVL,7820,14,18
AVL,7820,15,18
AVL,7820,14,18
AVL,7820,14,18
AVL,7820,15,18
AVL,7820,14,18
AVL,7820,14,18
AVL,7820,15,18
AVL,7820,14,18
AVL,7820,14,18
AVL,7820,14,18
AVL,7820,15,18
AVL,7820,15,18
AVL,7820,15,18
AVL,7820,14,18
AVL,7820,14,18
AVL,7820,15,18
AVL,7820,15,18
AVL,7820,15,18
AVL,7820,15,18
AVL,7820,15,18
AVL,7820,14,18
AVL,7820,15,18
AVL,7820,15,18
AVL,7820,14,18
AVL,7820,14,18
AVL,7820,14,18
AVL,7820,14,18
AVL,7820,14,18
AVL,7820,14,18
AVL,7820,15,18
AVL,7820,15,18
AVL,7820,14,18
AVL,7820,15,18
AVL,7820,14,18
AVL,7820,15,18
AVL,7820,15,18
AVL,7820,14,18
AVL,7820,14,18
AVL,7820,14,18
AVL,7820,14,18
AVL,7820,14,18
AVL,7820,14,18
AVL,7820,15,18
AVL,7820,14,18
AVL,7820,14,18
AVL,7820,14,18
AVL,7820,14,18
AVL,7820,14,18
AVL,7820,15,18
AVL,7820,14,18
AVL,7820,15,18
AVL,7820,14,18
AVL,7820,14,18
AVL,7820,15,18
AVL,7820,15,18
AVL,7820,14,18
AVL,7820,15,18
AVL,7820,15,18
AVL,7820,15,18
AVL,7820,15,18
AVL,7820,14,18
AVL,7820,14,18
AVL,7820,15,18
AVL,7820,15,18
AVL,7820,15,18
AVL,7820,15,18
AVL,7820,15,18
AVL,7820,15,18
AVL,7820,15,18
AVL,7820,15,18
AVL,7820,15,18
AVL,7820,15,18
AVL,7820,14,18
AVL,7820,14,18
AVL,7820,15,18
AVL,7820,15,18
AVL,7820,15,18
AVL,7820,15,18
AVL,7820,14,18
AVL,7820,14,18
AVL,7820,14,18
AVL,7820,14,18
AVL,7820,15,18
AVL,7820,15,18
AVL,6563,14,17
AVL,6563,14,17
AVL,6563,14,17
AVL,6563,14,17
AVL,6563,14,17
AVL,6563,14,17
AVL,6563,14,17
AVL,6563,14,17
AVL,6563,14,17
AVL,6563,14,17
AVL,6563,14,17
AVL,6563,14,17
AVL,6563,14,17
AVL,6563,14,17
AVL,6563,14,17
AVL,6563,14,17
AVL,6563,14,17
AVL,6563,14,17
AVL,6563,14,17
AVL,6563,14,17
AVL,6563,14,17
AVL,6563,14,17
AVL,6563,14,17
AVL,6563,14,17
AVL,6563,14,17
AVL,6563,14,17
AVL,6563,14,17
AVL,6563,14,17
AVL,6563,15,17
AVL,6563,14,17
AVL,6563,14,17
AVL,6563,14,17
AVL,6563,14,17
AVL,6563,14,17
AVL,6563,14,17
AVL,6563,14,17
AVL,6563,14,17
AVL,6563,14,17
AVL,6563,14,17
AVL,6563,14,17
AVL,6563,14,17
AVL,6563,14,17
AVL,6563,14,17
AVL,6563,14,17
AVL,6563,14,17
AVL,6563,14,17
AVL,6563,14,17
AVL,6563,14,17
AVL,6563,14,17
AVL,6563,14,17
AVL,6563,14,17
AVL,6563,14,17
AVL,6563,14,17
AVL,6563,14,17
AVL,6563,14,17
AVL,6563,14,17
AVL,6563,14,17
AVL,6563,14,17
AVL,6563,14,17
AVL,6563,14,17
AVL,6563,14,17
AVL,6563,14,17
AVL,6563,14,17
AVL,6563,14,17
AVL,6563,14,17
AVL,6563,14,17
AVL,6563,15,17
AVL,6563,14,17
AVL,6563,14,17
AVL,6563,14,17
AVL,6563,14,17
AVL,6563,14,17
AVL,6563,14,17
AVL,6563,14,17
AVL,6563,14,17
AVL,6563,14,17
AVL,6563,14,17
AVL,6563,14,17
AVL,6563,14,17
AVL,6563,14,17
AVL,6563,14,17
AVL,6563,14,17
AVL,6563,14,17
AVL,6563,14,17
AVL,6563,14,17
AVL,6563,15,17
AVL,6563,14,17
AVL,6563,15,17
AVL,6563,14,17
AVL,6563,14,17
AVL,6563,15,17
AVL,6563,14,17
AVL,6563,14,17
AVL,6563,14,17
AVL,6563,14,17
AVL,6563,14,17
AVL,6563,14,17
AVL,6563,14,17
AVL,6563,15,17
AVL,6563,14,17
AVL,5986,14,17
AVL,5986,14,17
AVL,5986,14,17
AVL,5986,14,17
AVL,5986,14,17
AVL,5986,14,17
AVL,5986,14,17
AVL,5986,14,17
AVL,5986,14,17
AVL,5986,14,17
AVL,5986,14,17
AVL,5986,14,17
AVL,5986,14,17
AVL,5986,14,17
AVL,5986,14,17
AVL,5986,14,17
AVL,5986,14,17
AVL,5986,14,17
AVL,5986,14,17
AVL,5986,14,17
AVL,5986,14,17
AVL,5986,14,17
AVL,5986,14,17
AVL,5986,14,17
AVL,5986,14,17
AVL,5986,14,17
AVL,5986,14,17
AVL,5986,14,17
AVL,5986,14,17
AVL,5986,14,17
AVL,5986,14,17
AVL,5986,14,17
AVL,5986,14,17
AVL,5986,14,17
AVL,5986,14,17
AVL,5986,14,17
AVL,5986,14,17
AVL,5986,14,17
AVL,5986,14,17
AVL,5986,14,17
AVL,5986,14,17
AVL,5986,14,17
AVL,5986,14,17
AVL,5986,14,17
AVL,5986,14,17
AVL,5986,14,17
AVL,5986,14,17
AVL,5986,14,17
AVL,5986,14,17
AVL,5986,14,17
AVL,5986,14,17
AVL,5986,14,17
AVL,5986,14,17
AVL,5986,14,17
AVL,5986,14,17
AVL,5986,14,17
AVL,5986,14,17
AVL,5986,14,17
AVL,5986,14,17
AVL,5986,14,17
AVL,5986,14,17
AVL,5986,14,17
AVL,5986,14,17
AVL,5986,14,17
AVL,5986,14,17
AVL,5986,14,17
AVL,5986,14,17
AVL,5986,14,17
AVL,5986,14,17
AVL,5986,14,17
AVL,5986,14,17
AVL,5986,14,17
AVL,5986,14,17
AVL,5986,14,17
AVL,5986,14,17
AVL,5986,14,17
AVL,5986,14,17
AVL,5986,14,17
AVL,5986,14,17
AVL,5986,14,17
AVL,5986,14,17
AVL,5986,14,17
AVL,5986,14,17
AVL,5986,14,17
AVL,5986,14,17
AVL,5986,14,17
AVL,5986,14,17
AVL,5986,14,17
AVL,5986,14,17
AVL,5986,14,17
AVL,5986,14,17
AVL,5986,14,17
AVL,5986,15,17
AVL,5986,14,17
AVL,5986,14,17
AVL,5986,14,17
AVL,5986,14,17
AVL,5986,14,17
AVL,5986,14,17
AVL,5986,14,17
