Tipo_Sucessor,Qtd Chaves,Altura,Altura Esperada
AVL,549,10,12
AVL,549,10,12
AVL,549,10,12
AVL,549,10,12
AVL,549,10,12
AVL,549,10,12
AVL,549,10,12
AVL,549,10,12
AVL,549,10,12
AVL,549,10,12
AVL,549,10,12
AVL,549,10,12
AVL,549,10,12
AVL,549,10,12
AVL,549,10,12
AVL,549,9,12
AVL,549,10,12
AVL,549,10,12
AVL,549,10,12
AVL,549,10,12
AVL,549,10,12
AVL,549,9,12
AVL,549,10,12
AVL,549,10,12
AVL,549,10,12
AVL,549,9,12
AVL,549,10,12
AVL,549,10,12
AVL,549,10,12
AVL,549,10,12
AVL,549,10,12
AVL,549,10,12
AVL,549,10,12
AVL,549,10,12
AVL,549,10,12
AVL,549,10,12
AVL,549,10,12
AVL,549,10,12
AVL,549,10,12
AVL,549,10,12
AVL,549,10,12
AVL,549,10,12
AVL,549,10,12
AVL,549,10,12
AVL,549,10,12
AVL,549,10,12
AVL,549,10,12
AVL,549,10,12
AVL,549,10,12
AVL,549,10,12
AVL,549,10,12
AVL,549,10,12
AVL,549,10,12
AVL,549,10,12
AVL,549,10,12
AVL,549,10,12
AVL,549,10,12
AVL,549,10,12
AVL,549,10,12
AVL,549,10,12
AVL,549,10,12
AVL,549,10,12
AVL,549,10,12
AVL,549,10,12
AVL,549,10,12
AVL,549,10,12
AVL,549,10,12
AVL,549,10,12
AVL,549,10,12
AVL,549,10,12
AVL,549,10,12
AVL,549,10,12
AVL,549,10,12
AVL,549,10,12
AVL,549,10,12
AVL,549,10,12
AVL,549,10,12
AVL,549,10,12
AVL,549,10,12
AVL,549,10,12
AVL,549,10,12
AVL,549,10,12
AVL,549,10,12
AVL,549,10,12
AVL,549,10,12
AVL,549,10,12
AVL,549,10,12
AVL,549,10,12
AVL,549,10,12
AVL,549,10,12
AVL,549,10,12
AVL,549,10,12
AVL,549,10,12
AVL,549,10,12
AVL,549,10,12
AVL,549,10,12
AVL,549,10,12
AVL,549,10,12
AVL,549,10,12
AVL,549,10,12
AVL,477,10,12
AVL,477,10,12
AVL,477,10,12
AVL,477,9,12
AVL,477,10,12
AVL,477,9,12
AVL,477,10,12
AVL,477,9,12
AVL,477,10,12
AVL,477,10,12
AVL,477,9,12
AVL,477,10,12
AVL,477,9,12
AVL,477,10,12
AVL,477,10,12
AVL,477,9,12
AVL,477,9,12
AVL,477,10,12
AVL,477,10,12
AVL,477,10,12
AVL,477,10,12
AVL,477,10,12
AVL,477,9,12
AVL,477,10,12
AVL,477,10,12
AVL,477,9,12
